2025-05-09_08:30:13.171 [SpringApplicationShutdownHook] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Shutting down Eureka Server..
2025-05-09_08:30:13.171 [SpringApplicationShutdownHook] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2025-05-09_08:30:13.172 [SpringApplicationShutdownHook] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shut down
2025-05-09_08:30:13.172 [SpringApplicationShutdownHook] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Eureka Service is now shutdown...
2025-05-09_08:30:13.173 [SpringApplicationShutdownHook] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2025-05-09_08:30:13.173 [SpringApplicationShutdownHook] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shut down
2025-05-09_08:30:13.177 [SpringApplicationShutdownHook] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2025-05-09_08:30:13.178 [SpringApplicationShutdownHook] INFO  com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2025-05-09_09:26:27.052 [main] INFO  com.server.ServerApplication - Starting ServerApplication using Java 21.0.5 with PID 18096 (C:\Users\Manjesh-Rayamajhi\Desktop\Blog-microservice\server\build\classes\java\main started by Manjesh-Rayamajhi in C:\Users\Manjesh-Rayamajhi\Desktop\Blog-microservice)
2025-05-09_09:26:27.052 [main] INFO  com.server.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-09_09:26:27.961 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=f094479d-ce74-39f7-8dd6-5aa19d20ca03
2025-05-09_09:26:28.220 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8761 (http)
2025-05-09_09:26:28.229 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2025-05-09_09:26:28.230 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-09_09:26:28.231 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-09_09:26:28.332 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-09_09:26:28.332 [main] INFO  o.s.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1239 ms
2025-05-09_09:26:29.146 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2025-05-09_09:26:29.148 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2025-05-09_09:26:29.296 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2025-05-09_09:26:29.296 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2025-05-09_09:26:29.437 [main] INFO  o.springframework.validation.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-05-09_09:26:30.034 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-05-09_09:26:30.048 [main] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2025-05-09_09:26:30.064 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-05-09_09:26:30.064 [main] INFO  com.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
2025-05-09_09:26:30.065 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1746762090064 with initial instances count: 0
2025-05-09_09:26:30.108 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initializing ...
2025-05-09_09:26:30.108 [main] WARN  com.netflix.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2025-05-09_09:26:30.118 [main] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
2025-05-09_09:26:30.118 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initialized
2025-05-09_09:26:30.125 [main] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-05-09_09:26:30.175 [main] INFO  o.s.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Registering application SERVER with eureka with status UP
2025-05-09_09:26:30.177 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8761"]
2025-05-09_09:26:30.189 [Thread-9] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
2025-05-09_09:26:30.189 [Thread-9] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
2025-05-09_09:26:30.189 [Thread-9] INFO  com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2025-05-09_09:26:30.190 [Thread-9] INFO  com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2025-05-09_09:26:30.190 [Thread-9] INFO  com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Changing status to UP
2025-05-09_09:26:30.192 [Thread-9] INFO  o.s.cloud.netflix.eureka.server.EurekaServerInitializerConfiguration - Started Eureka Server
2025-05-09_09:26:30.200 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8761 (http) with context path '/'
2025-05-09_09:26:30.201 [main] INFO  o.s.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration - Updating port to 8761
2025-05-09_09:26:30.214 [main] INFO  com.server.ServerApplication - Started ServerApplication in 3.76 seconds (process running for 4.609)
2025-05-09_09:26:30.567 [RMI TCP Connection(2)-192.168.1.70] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-09_09:26:30.568 [RMI TCP Connection(2)-192.168.1.70] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-09_09:26:30.568 [RMI TCP Connection(2)-192.168.1.70] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-05-09_09:26:42.247 [http-nio-8761-exec-1] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance API-GATEWAY/Manjesh-Rayamajhi-esewa.mshome.net:api-gateway:8080 with status DOWN (replication=false)
2025-05-09_09:26:47.264 [http-nio-8761-exec-8] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance API-GATEWAY/Manjesh-Rayamajhi-esewa.mshome.net:api-gateway:8080 (replication=false)
2025-05-09_09:26:52.629 [http-nio-8761-exec-5] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance API-GATEWAY/Manjesh-Rayamajhi-esewa.mshome.net:api-gateway:8080 with status UP (replication=false)
2025-05-09_09:27:30.191 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-05-09_09:28:30.202 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 11ms
2025-05-09_09:29:30.202 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-05-09_09:30:30.217 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 14ms
2025-05-09_09:31:30.220 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2025-05-09_09:32:18.849 [http-nio-8761-exec-3] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance POST-SERVICE/Manjesh-Rayamajhi-esewa.mshome.net:post-service:9191 with status UP (replication=false)
2025-05-09_09:32:30.221 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-05-09_09:32:32.262 [http-nio-8761-exec-8] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance POST-SERVICE/Manjesh-Rayamajhi-esewa.mshome.net:post-service:9191 with status UP (replication=false)
2025-05-09_09:33:30.227 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 6ms
2025-05-09_09:34:30.232 [Eureka-EvictionTimer] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
